National Total	Autonomous Communities and Cities	Index type	Indices and rates	Period	Total
Nacional		General	Index	2025QIII	183.389
Nacional		General	Index	2025QII	178.184
Nacional		General	Index	2025QI	171.296
Nacional		General	Index	2024QIV	165.433
Nacional		General	Index	2024QIII	162.521
Nacional		General	Index	2024QII	158.083
Nacional		General	Index	2024QI	152.618
Nacional		General	Index	2023QIV	148.690
Nacional		General	Index	2023QIII	150.273
Nacional		General	Index	2023QII	146.583
Nacional		General	Index	2023QI	143.580
Nacional		General	Index	2022QIV	142.666
Nacional		General	Index	2022QIII	143.860
Nacional		General	Index	2022QII	141.433
Nacional		General	Index	2022QI	138.742
Nacional		General	Index	2021QIV	135.291
Nacional		General	Index	2021QIII	133.652
Nacional		General	Index	2021QII	130.937
Nacional		General	Index	2021QI	127.831
Nacional		General	Index	2020QIV	127.179
Nacional		General	Index	2020QIII	128.255
Nacional		General	Index	2020QII	126.799
Nacional		General	Index	2020QI	126.695
Nacional		General	Index	2019QIV	125.320
Nacional		General	Index	2019QIII	126.135
Nacional		General	Index	2019QII	124.175
Nacional		General	Index	2019QI	122.758
Nacional		General	Index	2018QIV	120.954
Nacional		General	Index	2018QIII	120.491
Nacional		General	Index	2018QII	117.941
Nacional		General	Index	2018QI	114.994
Nacional		General	Index	2017QIV	113.457
Nacional		General	Index	2017QIII	112.442
Nacional		General	Index	2017QII	110.410
Nacional		General	Index	2017QI	108.239
Nacional		General	Index	2016QIV	105.848
Nacional		General	Index	2016QIII	105.431
Nacional		General	Index	2016QII	104.601
Nacional		General	Index	2016QI	102.775
Nacional		General	Index	2015QIV	101.305
Nacional		General	Index	2015QIII	101.358
Nacional		General	Index	2015QII	100.687
Nacional		General	Index	2015QI	96.651
Nacional		General	Index	2014QIV	97.194
Nacional		General	Index	2014QIII	97.002
Nacional		General	Index	2014QII	96.805
Nacional		General	Index	2014QI	95.208
Nacional		General	Index	2013QIV	95.512
Nacional		General	Index	2013QIII	96.742
Nacional		General	Index	2013QII	96.041
Nacional		General	Index	2013QI	96.768
Nacional		General	Index	2012QIV	103.593
Nacional		General	Index	2012QIII	105.073
Nacional		General	Index	2012QII	109.187
Nacional		General	Index	2012QI	112.861
Nacional		General	Index	2011QIV	118.782
Nacional		General	Index	2011QIII	123.948
Nacional		General	Index	2011QII	127.528
Nacional		General	Index	2011QI	129.059
Nacional		General	Index	2010QIV	133.718
Nacional		General	Index	2010QIII	133.846
Nacional		General	Index	2010QII	136.790
Nacional		General	Index	2010QI	134.626
Nacional		General	Index	2009QIV	136.313
Nacional		General	Index	2009QIII	136.845
Nacional		General	Index	2009QII	138.082
Nacional		General	Index	2009QI	138.693
Nacional		General	Index	2008QIV	142.511
Nacional		General	Index	2008QIII	147.134
Nacional		General	Index	2008QII	149.618
Nacional		General	Index	2008QI	150.082
Nacional		General	Index	2007QIV	150.640
Nacional		General	Index	2007QIII	151.719
Nacional		General	Index	2007QII	150.103
Nacional		General	Index	2007QI	145.935
Nacional	01 Andalucía	General	Index	2025QIII	182.372
Nacional	01 Andalucía	General	Index	2025QII	177.504
Nacional	01 Andalucía	General	Index	2025QI	170.858
Nacional	01 Andalucía	General	Index	2024QIV	165.457
Nacional	01 Andalucía	General	Index	2024QIII	162.275
Nacional	01 Andalucía	General	Index	2024QII	156.273
Nacional	01 Andalucía	General	Index	2024QI	149.880
Nacional	01 Andalucía	General	Index	2023QIV	145.927
Nacional	01 Andalucía	General	Index	2023QIII	146.784
Nacional	01 Andalucía	General	Index	2023QII	142.672
Nacional	01 Andalucía	General	Index	2023QI	138.890
Nacional	01 Andalucía	General	Index	2022QIV	138.587
Nacional	01 Andalucía	General	Index	2022QIII	138.730
Nacional	01 Andalucía	General	Index	2022QII	136.525
Nacional	01 Andalucía	General	Index	2022QI	133.300
Nacional	01 Andalucía	General	Index	2021QIV	130.178
Nacional	01 Andalucía	General	Index	2021QIII	128.119
Nacional	01 Andalucía	General	Index	2021QII	123.878
Nacional	01 Andalucía	General	Index	2021QI	120.217
Nacional	01 Andalucía	General	Index	2020QIV	120.518
Nacional	01 Andalucía	General	Index	2020QIII	120.819
Nacional	01 Andalucía	General	Index	2020QII	119.613
Nacional	01 Andalucía	General	Index	2020QI	119.440
Nacional	01 Andalucía	General	Index	2019QIV	118.553
Nacional	01 Andalucía	General	Index	2019QIII	119.331
Nacional	01 Andalucía	General	Index	2019QII	116.842
Nacional	01 Andalucía	General	Index	2019QI	114.705
Nacional	01 Andalucía	General	Index	2018QIV	113.831
Nacional	01 Andalucía	General	Index	2018QIII	112.673
Nacional	01 Andalucía	General	Index	2018QII	110.695
Nacional	01 Andalucía	General	Index	2018QI	108.283
Nacional	01 Andalucía	General	Index	2017QIV	107.763
Nacional	01 Andalucía	General	Index	2017QIII	106.913
Nacional	01 Andalucía	General	Index	2017QII	105.676
Nacional	01 Andalucía	General	Index	2017QI	104.051
Nacional	01 Andalucía	General	Index	2016QIV	103.142
Nacional	01 Andalucía	General	Index	2016QIII	103.113
Nacional	01 Andalucía	General	Index	2016QII	103.201
Nacional	01 Andalucía	General	Index	2016QI	101.910
Nacional	01 Andalucía	General	Index	2015QIV	101.029
Nacional	01 Andalucía	General	Index	2015QIII	101.734
Nacional	01 Andalucía	General	Index	2015QII	100.600
Nacional	01 Andalucía	General	Index	2015QI	96.637
Nacional	01 Andalucía	General	Index	2014QIV	98.094
Nacional	01 Andalucía	General	Index	2014QIII	97.478
Nacional	01 Andalucía	General	Index	2014QII	97.214
Nacional	01 Andalucía	General	Index	2014QI	95.522
Nacional	01 Andalucía	General	Index	2013QIV	96.389
Nacional	01 Andalucía	General	Index	2013QIII	97.433
Nacional	01 Andalucía	General	Index	2013QII	96.563
Nacional	01 Andalucía	General	Index	2013QI	97.307
Nacional	01 Andalucía	General	Index	2012QIV	102.861
Nacional	01 Andalucía	General	Index	2012QIII	104.624
Nacional	01 Andalucía	General	Index	2012QII	106.719
Nacional	01 Andalucía	General	Index	2012QI	110.865
Nacional	01 Andalucía	General	Index	2011QIV	116.257
