DATAFLOW,LAST UPDATE,freq,housing,building,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Spain,2021,18291434,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Noroeste,2021,1760920,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Galicia,2021,1080220,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Principado de Asturias,2021,444257,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Cantabria,2021,236445,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Noreste,2021,1809688,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,País Vasco,2021,918277,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Comunidad Foral de Navarra,2021,226248,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,La Rioja,2021,131153,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Aragón,2021,534007,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Comunidad de Madrid,2021,2530340,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Centro (ES),2021,2217253,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Castilla y León,2021,1007425,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Castilla-La Mancha,2021,784784,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Extremadura,2021,425048,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Este,2021,5403697,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Cataluña,2021,2959627,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Comunitat Valenciana,2021,2008294,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Illes Balears,2021,435779,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Sur,2021,3780641,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Andalucía,2021,3196176,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Región de Murcia,2021,535729,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Ciudad de Ceuta,2021,23923,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Ciudad de Melilla,2021,24815,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Canarias,2021,788889,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Extra-Regio NUTS 1,2021,0,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Residential buildings,Number,Extra-Regio NUTS 2,2021,0,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Spain,2021,4718327,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Noroeste,2021,576424,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Galicia,2021,438016,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Principado de Asturias,2021,89371,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Cantabria,2021,49035,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Noreste,2021,250216,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,País Vasco,2021,63047,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Comunidad Foral de Navarra,2021,51913,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,La Rioja,2021,19538,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Aragón,2021,115721,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Comunidad de Madrid,2021,273353,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Centro (ES),2021,937815,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Castilla y León,2021,334983,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Castilla-La Mancha,2021,387326,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Extremadura,2021,215506,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Este,2021,1107760,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Cataluña,2021,583667,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Comunitat Valenciana,2021,409891,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Illes Balears,2021,114201,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Sur,2021,1332782,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Andalucía,2021,1157210,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Región de Murcia,2021,167328,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Ciudad de Ceuta,2021,3220,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Ciudad de Melilla,2021,5022,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Canarias,2021,239978,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Extra-Regio NUTS 1,2021,0,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,One-dwelling residential buildings,Number,Extra-Regio NUTS 2,2021,0,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Spain,2021,699366,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Noroeste,2021,69884,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Galicia,2021,44395,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Principado de Asturias,2021,10017,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Cantabria,2021,15471,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Noreste,2021,48929,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,País Vasco,2021,17214,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Comunidad Foral de Navarra,2021,11382,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,La Rioja,2021,4043,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Aragón,2021,16292,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Comunidad de Madrid,2021,28759,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Centro (ES),2021,91881,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Castilla y León,2021,28647,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Castilla-La Mancha,2021,33087,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Extremadura,2021,30150,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Este,2021,225271,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Cataluña,2021,102697,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Comunitat Valenciana,2021,83213,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Illes Balears,2021,39358,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Sur,2021,181885,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Andalucía,2021,146822,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Región de Murcia,2021,32357,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Two-dwelling residential buildings,Number,Ciudad de Ceuta,2021,1197,,
