STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES,Spain,2021,,9.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES,Spain,2022,,9.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES,Spain,2023,,8.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES,Spain,2024,,7.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES,Spain,2025,,7.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES1,Noroeste,2021,,6.7,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES1,Noroeste,2022,,6.4,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES1,Noroeste,2023,,5.5,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES1,Noroeste,2024,,4.4,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES1,Noroeste,2025,,5.1,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES11,Galicia,2021,,5.4,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES11,Galicia,2022,,4.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES11,Galicia,2023,,4.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES11,Galicia,2024,,3.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES11,Galicia,2025,,4.7,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES12,Principado de Asturias,2021,,10.5,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES12,Principado de Asturias,2022,,10.4,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES12,Principado de Asturias,2023,,6.5,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES12,Principado de Asturias,2024,,4.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES12,Principado de Asturias,2025,,5.4,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES13,Cantabria,2021,,5.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES13,Cantabria,2022,,6.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES13,Cantabria,2023,,6.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES13,Cantabria,2024,,6.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES13,Cantabria,2025,,6.7,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES2,Noreste,2021,,6.6,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES2,Noreste,2022,,7.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES2,Noreste,2023,,6.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES2,Noreste,2024,,5.6,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES2,Noreste,2025,,4.7,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES21,País Vasco,2021,,6.6,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES21,País Vasco,2022,,7.3,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES21,País Vasco,2023,,5.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES21,País Vasco,2024,,6.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES21,País Vasco,2025,,4.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES22,Comunidad Foral de Navarra,2021,,6.1,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES22,Comunidad Foral de Navarra,2022,,8.0,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES22,Comunidad Foral de Navarra,2023,,9.1,,,,,
